step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
836,0.01427,0.99367,,
837,0.10362,0.97403,,
838,0.03527,0.9875,,
839,0.05661,0.98101,,
840,0.03647,0.98773,,
841,0.06129,0.97484,,
842,0.08014,0.97619,,
843,0.08756,0.97024,,
844,0.09522,0.98734,,
845,0.0854,0.98734,,
846,0.05218,0.9878,,
847,0.0673,0.98148,,
848,0.06887,0.9875,,
849,0.0511,0.97484,,
850,0.07756,0.97351,,
851,0.02529,0.99387,,
852,0.07915,0.96988,,
853,0.21991,0.96774,,
854,0.05866,0.98137,,
855,0.0202,0.99375,,
856,0.03143,0.98742,,
857,0.06882,0.975,,
858,0.10926,0.98113,,
859,0.02941,0.99371,,
860,0.08449,0.97436,,
861,0.01233,1.0,,
862,0.06045,0.97516,,
863,0.02522,0.99371,,
864,0.05749,0.98077,,
865,0.07713,0.98182,,
866,0.03985,0.99346,,
867,0.05947,0.98214,,
868,0.15328,0.98125,,
869,0.1328,0.96795,,
870,0.03244,0.98817,,
871,0.00777,1.0,,
872,0.18835,0.92638,,
873,0.08836,0.98734,,
874,0.01228,1.0,,
875,0.03165,0.99379,,
876,0.19075,0.95425,,
877,0.01834,0.9939,,
878,0.07049,0.97619,,
879,0.12292,0.96933,,
880,0.01987,0.99363,,
881,0.038,0.98788,,
882,0.06046,0.98817,,
883,0.05835,0.98137,,
884,0.03584,0.98851,,
885,0.01373,0.99412,,
886,0.09685,0.96951,,
887,0.05353,0.98026,,
888,0.12052,0.9697,,
889,0.05064,0.98052,,
890,0.01865,0.98718,,
891,0.1522,0.975,,
892,0.06186,0.98148,,
893,0.0129,0.99338,,
894,0.03983,0.98101,,
895,0.07171,0.96951,,
896,0.03208,0.98788,,
897,0.05086,0.975,,
898,0.00562,1.0,,
899,0.03828,0.9881,,
900,0.04432,0.9878,0.11136,0.98137
901,0.10426,0.95484,,
902,0.02707,0.99383,,
903,0.04125,0.99401,,
904,0.06374,0.97452,,
905,0.05344,0.98726,,
906,0.05745,0.99375,,
907,0.08027,0.98742,,
908,0.05199,0.9816,,
909,0.24715,0.96732,,
910,0.0398,0.98125,,
911,0.02018,0.98773,,
912,0.02443,0.9939,,
913,0.03896,0.9875,,
914,0.13943,0.98193,,
915,0.10371,0.96341,,
916,0.05477,0.98204,,
917,0.04416,0.98137,,
918,0.06328,0.97468,,
919,0.07149,0.96855,,
920,0.06685,0.9875,,
921,0.01505,1.0,,
922,0.07958,0.99375,,
923,0.09418,0.96855,,
924,0.12681,0.96711,,
925,0.02004,0.98693,,
926,0.04931,0.98171,,
927,0.01708,0.99412,,
928,0.02908,0.98758,,
929,0.05085,0.98726,,
930,0.10719,0.97333,,
931,0.07076,0.96951,,
932,0.01471,0.99405,,
933,0.09177,0.97484,,
934,0.01622,1.0,,
935,0.03377,0.98675,,
936,0.03357,0.98773,,
937,0.05316,0.98817,,
938,0.03655,0.98758,,
939,0.0516,0.9759,,
940,0.1409,0.96815,,
941,0.01178,0.99329,,
942,0.01377,0.99371,,
943,0.01001,1.0,,
944,0.06791,0.9883,,
945,0.07744,0.9816,,
946,0.12544,0.96667,,
947,0.11385,0.96129,,
948,0.01616,0.9939,,
949,0.04446,0.98125,,
950,0.07611,0.97076,,
951,0.07273,0.98148,,
952,0.03632,0.98701,,
953,0.02094,0.98742,,
954,0.02776,0.99408,,
955,0.05578,0.98788,,
956,0.04678,0.9881,,
957,0.04635,0.97546,,
958,0.037,0.98795,,
959,0.01399,1.0,,
960,0.01296,1.0,,
961,0.07784,0.98171,,
962,0.02797,0.98137,,
963,0.08795,0.98113,,
964,0.0154,1.0,,
965,0.05461,0.97531,,
966,0.04885,0.97484,,
967,0.03612,0.97576,,
968,0.01919,0.99383,,
969,0.04665,0.98817,,
970,0.01699,0.99342,,
971,0.04864,0.9816,,
972,0.06554,0.98742,,
973,0.05634,0.98077,,
974,0.03462,0.98113,,
975,0.04983,0.98113,,
976,0.02652,0.99375,,
977,0.02415,0.98765,,
978,0.01338,0.99363,,
979,0.01782,0.99405,,
980,0.02021,0.98734,,
981,0.01057,1.0,,
982,0.0197,1.0,,
983,0.1353,0.94937,,
984,0.04568,0.99387,,
985,0.13293,0.97531,,
986,0.15653,0.97516,,
987,0.06134,0.98214,,
988,0.08425,0.97531,,
989,0.08333,0.96875,,
